event,parameter,station,date,min,max,mean,median,total,station_name
Irma,atemp,gtmpcmet,2017-09-07,73.58,84.56,79.2026315789474,80.51,NA,Pellicer Creek (PC)
Irma,atemp,gtmpcmet,2017-09-08,77.36,83.3,81.03125,81.14,NA,Pellicer Creek (PC)
Irma,atemp,gtmpcmet,2017-09-09,77,81.32,79.735625,79.88,NA,Pellicer Creek (PC)
Irma,atemp,gtmpcmet,2017-09-10,76.28,82.76,79.683125,79.88,NA,Pellicer Creek (PC)
Irma,atemp,gtmpcmet,2017-09-11,76.46,82.94,79.53125,79.52,NA,Pellicer Creek (PC)
Irma,atemp,gtmpcmet,2017-09-12,72.14,87.08,78.1025,76.37,NA,Pellicer Creek (PC)
Irma,atemp,gtmpcmet,2017-09-13,71.78,79.34,75.6552941176471,76.1,NA,Pellicer Creek (PC)
Irma,bp,gtmpcmet,2017-09-07,29.9728325064966,30.0614221592251,30.011299066234,30.0023623907394,NA,Pellicer Creek (PC)
Irma,bp,gtmpcmet,2017-09-08,30.0023623907394,30.0614221592251,30.032507480904,30.0318922749823,NA,Pellicer Creek (PC)
Irma,bp,gtmpcmet,2017-09-09,29.9137727380109,30.0023623907394,29.9706792857705,29.9728325064966,NA,Pellicer Creek (PC)
Irma,bp,gtmpcmet,2017-09-10,29.7070635483109,29.9433026222537,29.8642486613119,29.884242853768,NA,Pellicer Creek (PC)
Irma,bp,gtmpcmet,2017-09-11,29.1164658634538,29.7070635483109,29.42160800063,29.4708244743681,NA,Pellicer Creek (PC)
Irma,bp,gtmpcmet,2017-09-12,29.6480037798252,29.884242853768,29.8058040987479,29.8251830852823,NA,Pellicer Creek (PC)
Irma,bp,gtmpcmet,2017-09-13,29.884242853768,29.9433026222537,29.9137727380109,29.9137727380109,NA,Pellicer Creek (PC)
Irma,intensprcp,gtmpcmet,2017-09-07,0,0,0,0,NA,Pellicer Creek (PC)
Irma,intensprcp,gtmpcmet,2017-09-08,0,1.00787401574803,0.0159120734908137,0,NA,Pellicer Creek (PC)
Irma,intensprcp,gtmpcmet,2017-09-09,0,2.31496062992126,0.0380577427821522,0,NA,Pellicer Creek (PC)
Irma,intensprcp,gtmpcmet,2017-09-10,0,0.881889763779528,0.094488188976378,0,NA,Pellicer Creek (PC)
Irma,intensprcp,gtmpcmet,2017-09-11,0,3.79527559055118,0.270341207349081,0,NA,Pellicer Creek (PC)
Irma,intensprcp,gtmpcmet,2017-09-12,0,0.078740157480315,0.00131233595800525,0,NA,Pellicer Creek (PC)
Irma,intensprcp,gtmpcmet,2017-09-13,0,0,0,0,NA,Pellicer Creek (PC)
Irma,maxwspd,gtmpcmet,2017-09-07,1.78955348155144,16.105981333963,9.61296327425496,11.7439447226813,NA,Pellicer Creek (PC)
Irma,maxwspd,gtmpcmet,2017-09-08,9.39515577814508,19.0140057414841,14.558763219705,14.5401220376055,NA,Pellicer Creek (PC)
Irma,maxwspd,gtmpcmet,2017-09-09,12.5268743708601,25.724831297302,20.6334584363776,21.1391005008264,NA,Pellicer Creek (PC)
Irma,maxwspd,gtmpcmet,2017-09-10,18.7903115562902,39.8175649645196,27.6681745311743,25.0537487417202,NA,Pellicer Creek (PC)
Irma,maxwspd,gtmpcmet,2017-09-11,8.94776740775722,65.0950078914338,38.6594815265885,40.9360358904893,NA,Pellicer Creek (PC)
Irma,maxwspd,gtmpcmet,2017-09-12,2.9080244075211,19.4613941118719,9.94274050231772,9.73069705593598,NA,Pellicer Creek (PC)
Irma,maxwspd,gtmpcmet,2017-09-13,2.01324766674537,4.69757788907254,3.23698644457099,3.35541277790896,NA,Pellicer Creek (PC)
Irma,rh,gtmpcmet,2017-09-07,75,97,85.6842105263158,81,NA,Pellicer Creek (PC)
Irma,rh,gtmpcmet,2017-09-08,79,99,86.4166666666667,87,NA,Pellicer Creek (PC)
