event,parameter,station,date,min,max,mean,median,station_name
Irma,cdepth,gtmfmwq,2017-09-07,5.8727036,9.8753284,7.59989318421053,7.4146984,Fort Matanzas (FM)
Irma,cdepth,gtmfmwq,2017-09-08,6.4632548,10.334646,8.49464156666667,8.5465882,Fort Matanzas (FM)
Irma,cdepth,gtmfmwq,2017-09-09,7.5787404,11.1220476,9.35517855833333,9.3996066,Fort Matanzas (FM)
Irma,cdepth,gtmfmwq,2017-09-10,8.1364832,12.4343836,10.2929519916667,10.334646,Fort Matanzas (FM)
Irma,cdepth,gtmfmwq,2017-09-11,8.2677168,14.4028876,11.3007850291667,10.9416014,Fort Matanzas (FM)
Irma,cdepth,gtmfmwq,2017-09-12,7.053806,10.498688,8.83092766666667,8.858268,Fort Matanzas (FM)
Irma,cdepth,gtmfmwq,2017-09-13,7.0209976,8.0052496,7.37417037647059,7.3162732,Fort Matanzas (FM)
Irma,cdepth,gtmpcwq,2017-09-07,2.8215224,4.5275592,3.6827429,3.6581366,Pellicer Creek (PC)
Irma,cdepth,gtmpcwq,2017-09-08,2.9855644,4.92126,4.11677069166667,4.2158794,Pellicer Creek (PC)
Irma,cdepth,gtmpcwq,2017-09-09,3.5104988,5.6430448,4.82112602916667,4.8884516,Pellicer Creek (PC)
Irma,cdepth,gtmpcwq,2017-09-10,4.5603676,6.9553808,5.6830300375,5.5938322,Pellicer Creek (PC)
Irma,cdepth,gtmpcwq,2017-09-11,6.3648296,9.514436,7.7233024125,7.4311026,Pellicer Creek (PC)
Irma,cdepth,gtmpcwq,2017-09-12,4.8884516,6.4632548,5.6502216375,5.7250658,Pellicer Creek (PC)
Irma,cdepth,gtmpcwq,2017-09-13,4.6587928,5.3477692,5.00038614117647,4.9868768,Pellicer Creek (PC)
Irma,cdepth,gtmpiwq,2017-09-07,7.6115488,12.9265096,10.3389628947368,10.2690292,Pine Island (PI)
Irma,cdepth,gtmpiwq,2017-09-08,8.4317588,13.3202104,11.320948525,11.5485568,Pine Island (PI)
Irma,cdepth,gtmpiwq,2017-09-09,9.9409452,14.0091868,12.1893458625,12.3195542,Pine Island (PI)
Irma,cdepth,gtmpiwq,2017-09-10,10.2362208,14.9606304,13.0286940958333,13.205381,Pine Island (PI)
Irma,cdepth,gtmpiwq,2017-09-11,11.318898,17.1259848,14.5847008166667,14.4028876,Pine Island (PI)
Irma,cdepth,gtmpiwq,2017-09-12,9.0551184,13.5826776,11.6500577875,11.7618114,Pine Island (PI)
Irma,cdepth,gtmpiwq,2017-09-13,9.1535436,10.826772,9.84637981176471,9.7440948,Pine Island (PI)
Irma,cdepth,gtmsswq,2017-09-07,14.6325464,19.849082,16.9287027105263,16.6338588,San Sebastian (SS)
Irma,cdepth,gtmsswq,2017-09-08,15.3871396,20.3740164,17.9878888083333,17.9790032,San Sebastian (SS)
Irma,cdepth,gtmsswq,2017-09-09,16.6994756,21.1942264,18.9601794125,19.028872,San Sebastian (SS)
Irma,cdepth,gtmsswq,2017-09-10,17.4868772,22.309712,20.0185920666667,20.0295282,San Sebastian (SS)
Irma,cdepth,gtmsswq,2017-09-11,16.3713916,24.6719168,20.7837796458333,20.6036752,San Sebastian (SS)
Irma,cdepth,gtmsswq,2017-09-12,15.748032,20.3740164,18.0948578625,18.04462,San Sebastian (SS)
Irma,cdepth,gtmsswq,2017-09-13,15.8792656,17.9790032,16.5624522823529,16.2729664,San Sebastian (SS)
Irma,depth,gtmfmwq,2017-09-07,5.9383204,10.006562,7.70824724210526,7.5295278,Fort Matanzas (FM)
Irma,depth,gtmfmwq,2017-09-08,6.56168,10.498688,8.626558675,8.6778218,Fort Matanzas (FM)
Irma,depth,gtmfmwq,2017-09-09,7.6115488,11.2204728,9.41840307916667,9.4488192,Fort Matanzas (FM)
Irma,depth,gtmfmwq,2017-09-10,8.1364832,12.4015752,10.2379295708333,10.2690292,Fort Matanzas (FM)
Irma,depth,gtmfmwq,2017-09-11,7.9396328,13.8451448,10.7481685416667,10.3838586,Fort Matanzas (FM)
Irma,depth,gtmfmwq,2017-09-12,6.9881892,10.4330712,8.71097195416667,8.694226,Fort Matanzas (FM)
Irma,depth,gtmfmwq,2017-09-13,7.0209976,8.038058,7.37417037647059,7.3162732,Fort Matanzas (FM)
Irma,depth,gtmpcwq,2017-09-07,2.9199476,4.6587928,3.79109695789474,3.7565618,Pellicer Creek (PC)
Irma,depth,gtmpcwq,2017-09-08,3.116798,5.0524936,4.2486878,4.3307088,Pellicer Creek (PC)
Irma,depth,gtmpcwq,2017-09-09,3.608924,5.7086616,4.88435055,4.9540684,Pellicer Creek (PC)
Irma,depth,gtmpcwq,2017-09-10,4.5603676,6.8241472,5.62800761666667,5.5610238,Pellicer Creek (PC)
Irma,depth,gtmpcwq,2017-09-11,6.1351708,8.6286092,7.170685925,6.9225724,Pellicer Creek (PC)
Irma,depth,gtmpcwq,2017-09-12,4.8556432,6.1679792,5.530265925,5.577428,Pellicer Creek (PC)
Irma,depth,gtmpcwq,2017-09-13,4.6916012,5.3149608,5.00038614117647,4.9868768,Pellicer Creek (PC)
Irma,depth,gtmpiwq,2017-09-07,7.6771656,13.0905516,10.4473169526316,10.3510502,Pine Island (PI)
Irma,depth,gtmpiwq,2017-09-08,8.530184,13.4842524,11.4528656333333,11.6797904,Pine Island (PI)
Irma,depth,gtmpiwq,2017-09-09,10.006562,14.0748036,12.2525703833333,12.4015752,Pine Island (PI)
Irma,depth,gtmpiwq,2017-09-10,10.2362208,14.8293968,12.973671675,13.12336,Pine Island (PI)
Irma,depth,gtmpiwq,2017-09-11,10.990814,16.4042,14.0320843291667,13.9271658,Pine Island (PI)
Irma,depth,gtmpiwq,2017-09-12,8.9895016,13.5170608,11.530102075,11.6961946,Pine Island (PI)
Irma,depth,gtmpiwq,2017-09-13,9.1535436,10.7939636,9.84637981176471,9.7440948,Pine Island (PI)
Irma,depth,gtmsswq,2017-09-07,14.6981632,19.9803156,17.0370567684211,16.732284,San Sebastian (SS)
Irma,depth,gtmsswq,2017-09-08,15.4855648,20.5380584,18.1198059166667,18.0938326,San Sebastian (SS)
Irma,depth,gtmsswq,2017-09-09,16.7650924,21.2926516,19.0234039333333,19.110893,San Sebastian (SS)
Irma,depth,gtmsswq,2017-09-10,17.4212604,22.2769036,19.9635696458333,19.9475072,San Sebastian (SS)
Irma,depth,gtmsswq,2017-09-11,16.0433076,24.0485572,20.2311631583333,20.0459324,San Sebastian (SS)
Irma,depth,gtmsswq,2017-09-12,15.6496068,20.3083996,17.97490215,17.962599,San Sebastian (SS)
Irma,depth,gtmsswq,2017-09-13,15.8792656,18.0118116,16.5624522823529,16.2729664,San Sebastian (SS)
Irma,do_mgl,gtmfmwq,2017-09-07,3.5,7,4.59868421052632,4.2,Fort Matanzas (FM)
Irma,do_mgl,gtmfmwq,2017-09-08,3.9,6.8,5.44583333333333,5.5,Fort Matanzas (FM)
Irma,do_mgl,gtmfmwq,2017-09-09,4.7,6.6,5.82395833333333,5.8,Fort Matanzas (FM)
Irma,do_mgl,gtmfmwq,2017-09-10,3.4,6.8,5.96666666666667,6,Fort Matanzas (FM)
Irma,do_mgl,gtmfmwq,2017-09-11,6,6.7,6.33125,6.3,Fort Matanzas (FM)
Irma,do_mgl,gtmfmwq,2017-09-12,4.1,6.3,5.21979166666667,5.3,Fort Matanzas (FM)
Irma,do_mgl,gtmfmwq,2017-09-13,3.8,5,4.45882352941176,4.6,Fort Matanzas (FM)
Irma,do_mgl,gtmpcwq,2017-09-07,2.3,3.5,2.99868421052632,3.1,Pellicer Creek (PC)
Irma,do_mgl,gtmpcwq,2017-09-08,3.4,5.1,3.996875,3.9,Pellicer Creek (PC)
Irma,do_mgl,gtmpcwq,2017-09-09,3.8,5.8,4.85625,4.85,Pellicer Creek (PC)
Irma,do_mgl,gtmpcwq,2017-09-10,3.8,6.3,5.290625,5.6,Pellicer Creek (PC)
Irma,do_mgl,gtmpcwq,2017-09-11,3.9,6.7,5.33854166666667,5.3,Pellicer Creek (PC)
Irma,do_mgl,gtmpcwq,2017-09-12,3.5,3.9,3.7,3.7,Pellicer Creek (PC)
Irma,do_mgl,gtmpcwq,2017-09-13,3.6,3.7,3.65882352941177,3.7,Pellicer Creek (PC)
Irma,do_mgl,gtmpiwq,2017-09-07,3,4.7,3.69342105263158,3.6,Pine Island (PI)
Irma,do_mgl,gtmpiwq,2017-09-08,3.6,5.3,4.4125,4.4,Pine Island (PI)
Irma,do_mgl,gtmpiwq,2017-09-09,5.1,6,5.39166666666667,5.3,Pine Island (PI)
Irma,do_mgl,gtmpiwq,2017-09-10,5.8,6.5,6.01041666666667,6,Pine Island (PI)
